column,dtype,non_null,null_count,null_pct,unique_count,mean,std,min,max,top_values
customer_id,str,100,0,0.0%,100,,,,,89638e4d-fc35-463e-ab7d-ae88d12fe5cf(1) | 86cc6fdf-6133-43c2-be2c-2f7217595814(1) | 9e18fbf7-1bba-4bb4-9866-f04f182abbe0(1)
full_name_ar,str,100,0,0.0%,100,,,,,سلمى بلال بلال فتحي(1) | أشرف مازن كريم عثمان(1) | أسماء رمضان فادي إبراهيم(1)
national_id,str,100,0,0.0%,100,,,,,2830802091382(1) | 2990126030093(1) | 2771206230313(1)
phone,str,100,0,0.0%,100,,,,,+20 011 218 4237(1) | +20 010 264 9570(1) | +20 010 533 8508(1)
age,int64,100,0,0.0%,34,36.91,9.18,18.00,63.00,
gender,str,100,0,0.0%,2,,,,,M(62) | F(38)
governorate,str,100,0,0.0%,10,,,,,Cairo(31) | Giza(15) | Alexandria(12)
customer_segment,str,100,0,0.0%,4,,,,,Mass(59) | Emerging(21) | Affluent(17)
annual_income_egp,float64,100,0,0.0%,100,36679.35,28537.48,7436.61,197602.08,
credit_score,int64,100,0,0.0%,87,621.57,86.34,409.00,850.00,
months_with_bank,int64,100,0,0.0%,67,88.65,32.77,10.00,168.00,
num_products,int64,100,0,0.0%,6,2.42,1.42,1.00,6.00,
has_loan,int64,100,0,0.0%,2,0.37,0.49,0.00,1.00,
has_credit_card,int64,100,0,0.0%,2,0.58,0.50,0.00,1.00,
has_savings_account,int64,100,0,0.0%,2,0.67,0.47,0.00,1.00,
is_active,int64,100,0,0.0%,2,0.85,0.36,0.00,1.00,
churn_flag,int64,100,0,0.0%,2,0.03,0.17,0.00,1.00,
